animal_type,intake_condition,intake_type,sex_upon_intake,age_upon_intake_(years),intake_number,time_in_shelter_days,sex_upon_outcome,age_upon_outcome_(years),outcome_number,outcome_type
Dog,Normal,Stray,Neutered Male,5,1,7.197916667,Neutered Male,5,1,Died
Cat,Normal,Stray,Spayed Female,8,1,0.815277778,Spayed Female,8,1,Died
Cat,Normal,Stray,Intact Female,2,1,4.117361111,Intact Female,2,1,Transfer
Cat,Normal,Stray,Intact Female,0.082191781,1,4.11875,Intact Female,0.164383562,1,Transfer
Cat,Normal,Stray,Intact Male,0.082191781,1,4.11875,Intact Male,0.164383562,1,Transfer
Dog,Nursing,Owner Surrender,Intact Male,0.002739726,1,57.94583333,Intact Male,0.082191781,1,Transfer
Dog,Nursing,Owner Surrender,Intact Male,0.002739726,1,4.751388889,Intact Male,0.016438356,1,Died
Cat,Normal,Owner Surrender,Intact Male,1,1,16.02916667,Intact Male,1,1,Transfer
Cat,Normal,Stray,Intact Female,0.057534247,1,0.013194444,Intact Female,0.057534247,1,Transfer
Dog,Normal,Owner Surrender,Spayed Female,10,1,33.87013889,Spayed Female,10,1,Died
Dog,Normal,Owner Surrender,Spayed Female,12,1,41.16597222,Spayed Female,12,1,Adoption
Dog,Normal,Owner Surrender,Neutered Male,12,1,10.13819444,Neutered Male,12,1,Adoption
Dog,Normal,Owner Surrender,Neutered Male,12,2,33.88402778,Neutered Male,12,2,Adoption
Cat,Normal,Stray,Intact Female,0.246575342,1,0.724305556,Intact Female,0.246575342,1,Transfer
Other,Sick,Wildlife,Unknown,1,1,0.04375,Unknown,1,1,Euthanasia
Dog,Normal,Public Assist,Intact Female,4,1,8.049305556,Intact Female,4,1,Return to Owner
Dog,Normal,Stray,Intact Male,3,1,7.915972222,Neutered Male,3,1,Transfer
Dog,Normal,Public Assist,Intact Female,1,1,0.977777778,Spayed Female,1,1,Return to Owner
Dog,Normal,Owner Surrender,Intact Female,1,2,4.176388889,Intact Female,1,2,Relocate
Dog,Normal,Owner Surrender,Intact Female,1,3,4.096527778,Intact Female,1,3,Adoption
Dog,Normal,Stray,Intact Female,1,4,3.959027778,Intact Female,1,4,Adoption
Cat,Nursing,Stray,Intact Female,0.005479452,1,0.036805556,Intact Female,0.005479452,1,Transfer
Dog,Normal,Stray,Intact Female,2,1,30.16666667,Spayed Female,2,1,Adoption
Dog,Normal,Stray,Intact Female,1,1,20.56319444,Spayed Female,1,1,Adoption
Dog,Injured,Stray,Intact Male,6,1,8.382638889,Neutered Male,6,1,Rto-Adopt
Dog,Normal,Stray,Intact Male,5,2,1.786111111,Intact Male,5,2,Return to Owner
Cat,Normal,Stray,Neutered Male,1,1,0.838194444,Neutered Male,1,1,Transfer
Cat,Feral,Stray,Neutered Male,1,2,1.025694444,Neutered Male,1,2,Transfer
Dog,Sick,Stray,Intact Female,6,1,4.393055556,Spayed Female,6,1,Adoption
Cat,Sick,Stray,Neutered Male,22,1,2.239583333,Neutered Male,22,1,Return to Owner
Dog,Normal,Owner Surrender,Intact Male,0.328767123,1,3.039583333,Neutered Male,0.328767123,1,Transfer
Dog,Normal,Owner Surrender,Intact Female,0.328767123,1,1.248611111,Spayed Female,0.328767123,1,Missing
Dog,Normal,Owner Surrender,Neutered Male,1,1,15.98333333,Neutered Male,1,1,Transfer
Dog,Normal,Stray,Intact Male,1,2,77.18333333,Neutered Male,1,2,Died
Dog,Injured,Stray,Intact Female,2,1,23.86458333,Intact Female,2,1,Adoption
Cat,Normal,Stray,Intact Female,0.076712329,1,0.168055556,Intact Female,0.076712329,1,Transfer
Dog,Normal,Owner Surrender,Intact Male,2,1,14.24166667,Intact Male,2,1,Euthanasia
Cat,Sick,Owner Surrender,Intact Male,0.082191781,1,0.074305556,Intact Male,0.082191781,1,Died
Cat,Sick,Owner Surrender,Intact Male,0.082191781,1,0.074305556,Intact Male,0.082191781,1,Transfer
Dog,Normal,Stray,Neutered Male,5,1,46.05555556,Neutered Male,5,1,Relocate
Cat,Normal,Stray,Neutered Male,3,1,73.93958333,Neutered Male,3,1,Relocate
Cat,Normal,Stray,Intact Male,0.082191781,2,19.20694444,Intact Male,0.164383562,2,Adoption
Cat,Normal,Owner Surrender,Intact Male,0.164383562,1,7.973611111,Neutered Male,0.164383562,1,Adoption
Cat,Normal,Stray,Intact Female,3,1,9.038194444,Spayed Female,3,1,Missing
Cat,Normal,Stray,Intact Male,0.246575342,1,9.038194444,Neutered Male,0.246575342,1,Transfer
Cat,Normal,Stray,Intact Female,0.246575342,1,5.936111111,Spayed Female,0.246575342,1,Adoption
Cat,Normal,Stray,Intact Female,0.095890411,1,33.11527778,Spayed Female,0.164383562,1,Adoption
Dog,Normal,Stray,Intact Female,9,1,4.907638889,Spayed Female,9,1,Relocate
Dog,Normal,Stray,Intact Male,0.410958904,1,6.034722222,Neutered Male,0.493150685,1,Adoption
Dog,Normal,Public Assist,Neutered Male,6,1,57.21041667,Neutered Male,7,1,Adoption
Dog,Normal,Stray,Neutered Male,6,2,8.880555556,Neutered Male,6,2,Return to Owner
Dog,Normal,Stray,Spayed Female,10,1,0.103472222,Spayed Female,10,1,Return to Owner
Dog,Normal,Owner Surrender,Spayed Female,0.164383562,1,1.004861111,Spayed Female,0.164383562,1,Relocate
Dog,Normal,Owner Surrender,Spayed Female,0.164383562,2,5.06875,Spayed Female,0.164383562,2,Adoption
Dog,Normal,Stray,Intact Female,0.082191781,3,4.0625,Spayed Female,0.164383562,3,Adoption
Cat,Injured,Owner Surrender,Intact Female,0.082191781,1,0.067361111,Intact Female,0.082191781,1,Euthanasia
Dog,Normal,Stray,Intact Female,1,1,4.857638889,Spayed Female,1,1,Transfer
Dog,Normal,Stray,Intact Female,0.082191781,1,4.047222222,Spayed Female,0.164383562,1,Adoption
Other,Normal,Wildlife,Unknown,3,1,0.016666667,Unknown,3,1,Euthanasia
Cat,Normal,Stray,Intact Male,0.082191781,1,36.81944444,Neutered Male,0.164383562,1,Missing
Dog,Normal,Stray,Neutered Male,13,1,0.721527778,Neutered Male,13,1,Euthanasia
Cat,Normal,Stray,Intact Male,0.095890411,1,13.00138889,Intact Male,0.082191781,1,Transfer
Cat,Normal,Stray,Intact Male,0.095890411,1,13.00138889,Intact Male,0.082191781,1,Transfer
Cat,Sick,Owner Surrender,Intact Female,0.410958904,1,0.019444444,Intact Female,0.410958904,1,Euthanasia
Cat,Normal,Owner Surrender,Intact Female,1,1,3.78125,Intact Female,1,1,Died
Cat,Normal,Owner Surrender,Intact Female,2,1,35.83680556,Spayed Female,2,1,Adoption
Cat,Normal,Owner Surrender,Intact Male,0.410958904,1,3.781944444,Intact Male,0.493150685,1,Transfer
Cat,Sick,Owner Surrender,Intact Male,0.410958904,1,3.781944444,Intact Male,0.493150685,1,Transfer
Dog,Normal,Public Assist,Intact Male,0.328767123,1,5.876388889,Neutered Male,0.410958904,1,Transfer
Dog,Normal,Public Assist,Intact Male,0.410958904,1,3.843055556,Neutered Male,0.410958904,1,Adoption
Dog,Nursing,Stray,Intact Female,3,1,3.094444444,Intact Female,3,1,Euthanasia
Dog,Injured,Stray,Intact Female,8,1,0.011805556,Intact Female,8,1,Euthanasia
Cat,Injured,Stray,Intact Female,2,1,1.011111111,Intact Female,2,1,Transfer
Dog,Normal,Stray,Intact Male,1,1,4.344444444,Neutered Male,1,1,Return to Owner
Cat,Injured,Stray,Unknown,1,1,0.016666667,Unknown,1,1,Died
Dog,Normal,Public Assist,Spayed Female,4,1,0.150694444,Spayed Female,4,1,Return to Owner
Other,Injured,Wildlife,Unknown,1,1,0.001388889,Unknown,1,1,Euthanasia
Cat,Normal,Stray,Intact Male,0.038356164,1,0.13125,Intact Male,0.038356164,1,Transfer
Cat,Normal,Stray,Intact Female,0.038356164,1,0.13125,Intact Female,0.038356164,1,Transfer
Dog,Normal,Owner Surrender,Intact Female,4,1,7.054861111,Intact Female,4,1,Transfer
Dog,Normal,Owner Surrender,Intact Female,2,1,7.054861111,Intact Female,2,1,Transfer
Cat,Normal,Owner Surrender,Spayed Female,4,1,18.13888889,Spayed Female,4,1,Adoption
Dog,Normal,Stray,Intact Female,0.246575342,1,4.223611111,Spayed Female,0.328767123,1,Missing
Cat,Sick,Stray,Intact Female,0.038356164,1,0.085416667,Intact Female,0.038356164,1,Transfer
Cat,Sick,Stray,Intact Male,0.038356164,1,0.085416667,Intact Male,0.038356164,1,Missing
Dog,Normal,Owner Surrender,Spayed Female,2,1,40.21944444,Spayed Female,2,1,Missing
Dog,Normal,Stray,Intact Female,14,1,2.095833333,Intact Female,14,1,Return to Owner
Dog,Normal,Stray,Intact Female,0.095890411,1,0.161111111,Intact Female,0.095890411,1,Transfer
Dog,Normal,Stray,Intact Female,0.095890411,1,0.161805556,Intact Female,0.095890411,1,Rto-Adopt
Dog,Normal,Stray,Intact Female,0.095890411,1,0.161805556,Intact Female,0.095890411,1,Transfer
Cat,Normal,Stray,Intact Male,0.082191781,1,55.19652778,Neutered Male,0.246575342,1,Adoption
Cat,Normal,Stray,Intact Male,0.038356164,1,0.041666667,Intact Male,0.038356164,1,Euthanasia
Dog,Normal,Stray,Spayed Female,8,1,6.969444444,Spayed Female,8,1,Rto-Adopt
Dog,Normal,Stray,Spayed Female,7,2,1.198611111,Spayed Female,7,2,Return to Owner
Dog,Normal,Stray,Intact Female,2,1,32.17291667,Spayed Female,2,1,Adoption
Dog,Normal,Stray,Spayed Female,1,1,9.156944444,Spayed Female,1,1,Return to Owner
Cat,Injured,Owner Surrender,Intact Female,1,1,32.01111111,Spayed Female,1,1,Adoption
Dog,Normal,Stray,Intact Female,0.164383562,1,3.810416667,Intact Female,0.164383562,1,Rto-Adopt
Dog,Normal,Stray,Intact Male,0.164383562,1,3.810416667,Intact Male,0.164383562,1,Missing
Dog,Normal,Stray,Intact Female,2,1,6.09375,Intact Female,2,1,Relocate
Dog,Normal,Stray,Intact Male,2,1,5.040277778,Intact Male,2,1,Transfer
Dog,Normal,Stray,Intact Male,1,1,7.106944444,Intact Male,1,1,Transfer
Dog,Normal,Owner Surrender,Spayed Female,0.246575342,1,0.944444444,Spayed Female,0.246575342,1,Adoption
Dog,Normal,Stray,Intact Female,0.082191781,2,4.072916667,Spayed Female,0.164383562,2,Adoption
Cat,Normal,Stray,Intact Female,0.019178082,1,0.115972222,Intact Female,0.019178082,1,Transfer
Cat,Normal,Stray,Intact Female,0.019178082,1,0.115972222,Intact Female,0.019178082,1,Transfer
Cat,Normal,Stray,Unknown,0.019178082,1,0.115972222,Unknown,0.019178082,1,Transfer
Cat,Normal,Stray,Unknown,0.019178082,1,0.115972222,Unknown,0.019178082,1,Transfer
Cat,Normal,Stray,Unknown,0.019178082,1,0.115972222,Unknown,0.019178082,1,Transfer
Cat,Normal,Stray,Unknown,0.019178082,1,0.115972222,Unknown,0.019178082,1,Rto-Adopt
Cat,Normal,Stray,Intact Female,0.057534247,1,0.116666667,Intact Female,0.057534247,1,Transfer
Dog,Normal,Stray,Intact Female,3,1,12.05763889,Spayed Female,3,1,Adoption
Cat,Normal,Stray,Intact Female,0.057534247,1,0.116666667,Intact Female,0.057534247,1,Transfer
Cat,Normal,Stray,Intact Male,0.057534247,1,0.116666667,Intact Male,0.057534247,1,Transfer
Cat,Normal,Stray,Intact Male,0.057534247,1,0.116666667,Intact Male,0.057534247,1,Died
Dog,Normal,Stray,Spayed Female,5,1,1.016666667,Spayed Female,5,1,Return to Owner
Other,Sick,Wildlife,Unknown,0.410958904,1,0.641666667,Unknown,0.493150685,1,Euthanasia
Dog,Normal,Public Assist,Neutered Male,3,1,11.91111111,Neutered Male,3,1,Return to Owner
Dog,Normal,Stray,Spayed Female,3,1,2.125694444,Spayed Female,3,1,Return to Owner
Dog,Normal,Stray,Spayed Female,3,2,1.75,Spayed Female,3,2,Return to Owner
Dog,Normal,Stray,Spayed Female,10,1,1.747916667,Spayed Female,10,1,Return to Owner
Cat,Normal,Stray,Intact Male,0.164383562,1,10.88958333,Neutered Male,0.164383562,1,Adoption
Dog,Normal,Stray,Intact Male,1,1,4.990277778,Neutered Male,1,1,Adoption
Cat,Injured,Stray,Intact Male,6,1,0.609027778,Intact Male,6,1,Relocate
Dog,Normal,Stray,Intact Male,0.410958904,1,9.907638889,Neutered Male,0.410958904,1,Transfer
Dog,Normal,Owner Surrender,Spayed Female,1,1,8.867361111,Spayed Female,1,1,Adoption
Dog,Normal,Stray,Intact Female,1,2,21.77222222,Spayed Female,1,2,Died
Dog,Normal,Stray,Intact Female,0.246575342,1,3.831944444,Spayed Female,0.246575342,1,Adoption
Dog,Normal,Stray,Intact Male,1,1,10.71388889,Neutered Male,1,1,Adoption
Other,Sick,Wildlife,Unknown,2,1,0.427083333,Unknown,2,1,Euthanasia
Dog,Aged,Stray,Spayed Female,10,1,0.545833333,Spayed Female,10,1,Return to Owner
Other,Sick,Wildlife,Unknown,0.246575342,1,0.416666667,Unknown,0.246575342,1,Disposal
Other,Normal,Wildlife,Unknown,1,1,0.376388889,Unknown,1,1,Euthanasia
Dog,Sick,Stray,Intact Male,0.246575342,1,0.259027778,Intact Male,0.246575342,1,Transfer
Cat,Normal,Stray,Intact Male,0.076712329,1,0.169444444,Intact Male,0.076712329,1,Died
Cat,Normal,Stray,Intact Male,0.057534247,1,0.16875,Intact Male,0.057534247,1,Transfer
Cat,Normal,Stray,Intact Female,0.057534247,1,0.169444444,Intact Female,0.057534247,1,Transfer
Dog,Normal,Stray,Intact Male,0.328767123,1,53.13472222,Neutered Male,0.493150685,1,Died
Cat,Injured,Stray,Intact Female,0.246575342,1,18.10416667,Spayed Female,0.246575342,1,Adoption
Dog,Normal,Public Assist,Neutered Male,5,1,8.196527778,Neutered Male,5,1,Transfer
Dog,Normal,Stray,Intact Male,2,1,2.061805556,Neutered Male,2,1,Return to Owner
Dog,Sick,Owner Surrender,Intact Male,0.082191781,1,0.122222222,Intact Male,0.082191781,1,Missing
Dog,Normal,Stray,Spayed Female,0.410958904,1,4.332638889,Spayed Female,0.410958904,1,Rto-Adopt
Cat,Normal,Owner Surrender,Intact Female,2,1,2.2375,Spayed Female,2,1,Return to Owner
Dog,Normal,Stray,Neutered Male,7,1,13.25277778,Neutered Male,8,1,Return to Owner
Cat,Normal,Stray,Intact Female,2,1,1.897222222,Intact Female,2,1,Rto-Adopt
Cat,Normal,Owner Surrender,Intact Male,0.246575342,1,2.2375,Neutered Male,0.246575342,1,Return to Owner
Cat,Normal,Owner Surrender,Intact Female,0.246575342,1,2.236805556,Spayed Female,0.246575342,1,Return to Owner
Cat,Normal,Owner Surrender,Intact Female,0.246575342,1,2.2375,Spayed Female,0.246575342,1,Return to Owner
Cat,Normal,Owner Surrender,Intact Male,0.246575342,1,2.2375,Neutered Male,0.246575342,1,Return to Owner
Cat,Normal,Stray,Intact Female,0.164383562,1,5.074305556,Spayed Female,0.164383562,1,Adoption
Cat,Normal,Stray,Spayed Female,4,1,17,Spayed Female,4,1,Transfer
Cat,Normal,Stray,Spayed Female,3,2,1.879861111,Spayed Female,3,2,Transfer
Dog,Normal,Stray,Neutered Male,6,1,1.970138889,Neutered Male,6,1,Return to Owner
Dog,Normal,Stray,Intact Male,0.082191781,1,4.209722222,Neutered Male,0.164383562,1,Adoption
Dog,Normal,Stray,Intact Male,0.082191781,1,4.263888889,Neutered Male,0.164383562,1,Adoption
Dog,Normal,Stray,Intact Male,0.082191781,1,4.213888889,Neutered Male,0.164383562,1,Missing
Cat,Nursing,Stray,Intact Male,0.005479452,1,0.086111111,Intact Male,0.005479452,1,Transfer
Dog,Normal,Stray,Neutered Male,2,1,99.68125,Neutered Male,2,1,Missing
Dog,Normal,Stray,Neutered Male,2,2,0.079861111,Neutered Male,2,2,Return to Owner
Dog,Normal,Stray,Intact Male,2,3,53.30486111,Neutered Male,2,3,Adoption
Dog,Normal,Public Assist,Neutered Male,2,1,7.716666667,Neutered Male,2,1,Return to Owner
Other,Normal,Stray,Unknown,0.410958904,1,2.245833333,Unknown,0.493150685,1,Died
Dog,Normal,Stray,Intact Male,1,1,85.19513889,Neutered Male,1,1,Relocate
Cat,Normal,Stray,Intact Male,0.038356164,1,0.028472222,Intact Male,0.038356164,1,Transfer
Cat,Normal,Stray,Unknown,2,1,1.847222222,Unknown,2,1,Transfer
Cat,Normal,Stray,Intact Male,0.076712329,1,1.129861111,Intact Male,0.076712329,1,Relocate
Dog,Normal,Stray,Intact Female,3,1,6.095833333,Spayed Female,3,1,Transfer
Dog,Normal,Stray,Intact Male,0.246575342,1,4.188888889,Neutered Male,0.246575342,1,Adoption
Cat,Injured,Stray,Spayed Female,2,1,0.841666667,Spayed Female,2,1,Return to Owner
Other,Sick,Wildlife,Unknown,1,1,0.014583333,Unknown,1,1,Euthanasia
Cat,Normal,Stray,Intact Female,2,1,1.825,Intact Female,2,1,Transfer
Cat,Normal,Stray,Intact Female,0.164383562,1,2.003472222,Intact Female,0.164383562,1,Transfer
Cat,Normal,Stray,Intact Male,0.164383562,1,2.002777778,Intact Male,0.164383562,1,Missing
Cat,Normal,Stray,Intact Male,0.164383562,1,2.002777778,Intact Male,0.164383562,1,Transfer
Cat,Normal,Stray,Intact Male,0.164383562,1,2.003472222,Intact Male,0.164383562,1,Transfer
Cat,Normal,Stray,Neutered Male,3,1,39.82847222,Neutered Male,3,1,Euthanasia
Dog,Normal,Stray,Intact Male,0.739726027,1,4.167361111,Neutered Male,0.821917808,1,Rto-Adopt
Dog,Normal,Stray,Intact Male,0.410958904,1,4.120138889,Neutered Male,0.493150685,1,Adoption
Dog,Normal,Stray,Intact Female,0.410958904,1,4.130555556,Spayed Female,0.493150685,1,Adoption
Dog,Normal,Stray,Spayed Female,3,1,0.053472222,Spayed Female,3,1,Return to Owner
Cat,Normal,Stray,Intact Male,0.076712329,1,36.96111111,Neutered Male,0.164383562,1,Adoption
Cat,Normal,Stray,Intact Female,0.076712329,1,36.96111111,Spayed Female,0.164383562,1,Rto-Adopt
Cat,Normal,Owner Surrender,Neutered Male,0.164383562,1,3.006944444,Neutered Male,0.164383562,1,Relocate
Cat,Normal,Stray,Intact Male,0.082191781,2,40.66944444,Neutered Male,0.164383562,2,Adoption
Cat,Normal,Stray,Intact Female,0.082191781,1,44.77222222,Spayed Female,0.164383562,1,Adoption
Cat,Normal,Stray,Intact Female,0.082191781,1,39.05902778,Spayed Female,0.164383562,1,Adoption
Cat,Normal,Stray,Intact Female,0.082191781,1,48.72083333,Spayed Female,0.164383562,1,Adoption
Dog,Normal,Public Assist,Neutered Male,8,1,0.755555556,Neutered Male,8,1,Return to Owner
Dog,Normal,Stray,Intact Male,6,2,39.14652778,Neutered Male,6,2,Adoption
Dog,Normal,Public Assist,Spayed Female,8,1,0.103472222,Spayed Female,8,1,Return to Owner
Dog,Normal,Stray,Intact Male,0.246575342,1,4.070138889,Neutered Male,0.246575342,1,Adoption
Dog,Normal,Stray,Intact Female,0.410958904,1,4.040972222,Spayed Female,0.493150685,1,Transfer
Dog,Normal,Stray,Intact Male,0.328767123,1,1.875,Intact Male,0.328767123,1,Return to Owner
Cat,Normal,Stray,Intact Female,1,1,70.88333333,Spayed Female,1,1,Transfer
Cat,Normal,Stray,Intact Female,0.076712329,1,38.95763889,Spayed Female,0.164383562,1,Died
Cat,Normal,Stray,Intact Female,0.076712329,1,49.77708333,Spayed Female,0.164383562,1,Relocate
Cat,Normal,Stray,Intact Male,0.076712329,1,51.65833333,Neutered Male,0.164383562,1,Adoption
Cat,Normal,Stray,Intact Male,0.076712329,1,49.77708333,Neutered Male,0.164383562,1,Adoption
Dog,Normal,Stray,Spayed Female,16,1,0.688194444,Spayed Female,16,1,Return to Owner
Dog,Normal,Stray,Neutered Male,10,1,46.61319444,Neutered Male,10,1,Adoption
Dog,Normal,Stray,Intact Male,2,1,12.42638889,Intact Male,2,1,Euthanasia
Cat,Normal,Stray,Intact Male,0.082191781,1,8.209722222,Intact Male,0.082191781,1,Transfer
Dog,Normal,Owner Surrender,Intact Female,3,1,3.265972222,Spayed Female,3,1,Died
Cat,Normal,Stray,Intact Male,0.082191781,1,8.209722222,Intact Male,0.082191781,1,Transfer
Cat,Normal,Stray,Intact Female,0.082191781,1,8.209722222,Intact Female,0.082191781,1,Died
Dog,Normal,Owner Surrender,Intact Male,2,1,4.29375,Neutered Male,2,1,Died
Cat,Normal,Stray,Intact Female,2,1,1.894444444,Intact Female,2,1,Missing
Cat,Normal,Stray,Intact Female,0.164383562,1,16.21527778,Spayed Female,0.164383562,1,Adoption
Cat,Normal,Stray,Intact Female,0.164383562,1,16.14583333,Spayed Female,0.164383562,1,Relocate
Cat,Normal,Stray,Intact Female,0.164383562,1,16.14513889,Spayed Female,0.164383562,1,Adoption
Cat,Normal,Stray,Intact Male,0.164383562,1,16.09097222,Neutered Male,0.164383562,1,Relocate
Cat,Normal,Stray,Intact Female,0.082191781,1,16.21319444,Spayed Female,0.164383562,1,Missing
Cat,Normal,Stray,Intact Male,5,1,3.9875,Intact Male,5,1,Return to Owner
Dog,Normal,Stray,Intact Male,5,1,3.297916667,Neutered Male,5,1,Return to Owner
Dog,Normal,Stray,Intact Female,8,1,2.106944444,Intact Female,8,1,Return to Owner
Dog,Normal,Owner Surrender,Intact Male,2,1,5.007638889,Intact Male,2,1,Transfer
Dog,Normal,Owner Surrender,Intact Male,2,1,5.009027778,Intact Male,2,1,Transfer
Cat,Normal,Stray,Neutered Male,1,1,0.845138889,Neutered Male,1,1,Transfer
Cat,Normal,Stray,Neutered Male,1,2,0.873611111,Neutered Male,1,2,Transfer
Cat,Normal,Stray,Intact Female,1,1,3.919444444,Intact Female,1,1,Missing
Cat,Normal,Stray,Intact Male,0.246575342,1,3.920138889,Intact Male,0.246575342,1,Transfer
Cat,Normal,Stray,Intact Male,0.246575342,1,3.920833333,Intact Male,0.246575342,1,Transfer
Cat,Normal,Stray,Intact Female,0.246575342,1,3.920138889,Intact Female,0.246575342,1,Transfer
Cat,Normal,Owner Surrender,Intact Male,0.246575342,1,14.19444444,Neutered Male,0.246575342,1,Adoption
Cat,Normal,Owner Surrender,Intact Female,0.246575342,1,15.04513889,Spayed Female,0.246575342,1,Adoption
Cat,Normal,Owner Surrender,Intact Male,0.246575342,1,3.200694444,Neutered Male,0.246575342,1,Adoption
Cat,Normal,Owner Surrender,Intact Female,0.246575342,1,12.00416667,Spayed Female,0.246575342,1,Rto-Adopt
Dog,Normal,Public Assist,Neutered Male,5,1,1.122222222,Neutered Male,5,1,Return to Owner
Dog,Sick,Stray,Intact Female,1,1,69.00833333,Spayed Female,1,1,Adoption
Dog,Normal,Stray,Intact Male,0.164383562,1,5.140972222,Neutered Male,0.164383562,1,Adoption
Dog,Normal,Stray,Intact Male,0.164383562,1,16,Neutered Male,0.164383562,1,Rto-Adopt
Cat,Normal,Stray,Intact Female,0.057534247,1,0.065277778,Intact Female,0.057534247,1,Died
Dog,Normal,Stray,Intact Female,0.082191781,1,4.165277778,Spayed Female,0.164383562,1,Died
Cat,Normal,Owner Surrender,Intact Female,0.246575342,1,2.090972222,Spayed Female,0.328767123,1,Adoption
Cat,Normal,Stray,Unknown,1,1,0.752777778,Unknown,1,1,Transfer
Cat,Normal,Stray,Spayed Female,1,1,0.749305556,Spayed Female,1,1,Relocate
Cat,Normal,Stray,Intact Male,0.082191781,1,9.094444444,Neutered Male,0.164383562,1,Adoption
Dog,Normal,Stray,Intact Male,1,1,6.866666667,Neutered Male,1,1,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,1,1,1.338888889,Neutered Male,1,1,Adoption
Dog,Normal,Stray,Intact Male,1,2,4.138194444,Neutered Male,1,2,Adoption
Dog,Normal,Stray,Neutered Male,3,1,0.825,Neutered Male,3,1,Return to Owner
Dog,Sick,Owner Surrender,Intact Female,0.246575342,1,50.12638889,Spayed Female,0.410958904,1,Rto-Adopt
Cat,Normal,Stray,Intact Male,0.057534247,1,0.030555556,Intact Male,0.057534247,1,Relocate
Cat,Normal,Stray,Intact Female,0.057534247,1,0.034722222,Intact Female,0.057534247,1,Transfer
Cat,Normal,Stray,Intact Female,0.057534247,1,0.034722222,Intact Female,0.057534247,1,Transfer
Cat,Normal,Stray,Intact Male,0.076712329,1,1.084027778,Intact Male,0.076712329,1,Relocate
Dog,Normal,Owner Surrender,Neutered Male,6,1,107.0027778,Neutered Male,6,1,Adoption
Dog,Normal,Stray,Intact Female,4,1,3.782638889,Intact Female,4,1,Transfer
Dog,Normal,Stray,Intact Male,2,1,3.858333333,Intact Male,2,1,Transfer
Dog,Normal,Owner Surrender,Spayed Female,1,1,16.21875,Spayed Female,1,1,Transfer
Dog,Normal,Stray,Intact Female,1,2,35.90694444,Spayed Female,1,2,Adoption
Dog,Normal,Stray,Spayed Female,2,1,4.772916667,Spayed Female,2,1,Died
Other,Normal,Wildlife,Unknown,0.076712329,1,0.406944444,Unknown,0.076712329,1,Euthanasia
Other,Normal,Wildlife,Unknown,0.076712329,1,0.40625,Unknown,0.076712329,1,Euthanasia
Other,Normal,Wildlife,Unknown,0.076712329,1,0.406944444,Unknown,0.076712329,1,Euthanasia
Other,Normal,Wildlife,Unknown,0.076712329,1,0.407638889,Unknown,0.076712329,1,Euthanasia
Dog,Normal,Stray,Intact Female,0.739726027,1,4.697916667,Spayed Female,0.821917808,1,Adoption
Dog,Normal,Stray,Intact Male,5,1,22.40208333,Neutered Male,5,1,Adoption
Dog,Normal,Stray,Intact Female,5,1,1.15625,Intact Female,5,1,Return to Owner
Cat,Normal,Stray,Intact Male,1,1,1.067361111,Intact Male,1,1,Relocate
Dog,Normal,Stray,Neutered Male,2,1,16.07847222,Neutered Male,2,1,Adoption
Cat,Normal,Stray,Intact Female,0.164383562,1,4.235416667,Spayed Female,0.164383562,1,Adoption
Cat,Normal,Stray,Intact Male,0.082191781,1,11.11458333,Neutered Male,0.164383562,1,Adoption
Cat,Normal,Stray,Intact Female,0.082191781,1,9.245138889,Spayed Female,0.164383562,1,Adoption
Dog,Normal,Stray,Intact Female,5,1,16.14097222,Spayed Female,5,1,Adoption
Dog,Normal,Stray,Neutered Male,1,1,21.88402778,Neutered Male,1,1,Adoption
Dog,Normal,Stray,Intact Male,1,2,20.28263889,Neutered Male,1,2,Adoption
Cat,Normal,Stray,Intact Male,0.246575342,1,10.27361111,Neutered Male,0.328767123,1,Rto-Adopt
Cat,Normal,Stray,Intact Male,0.246575342,1,15.07430556,Neutered Male,0.328767123,1,Relocate
Cat,Normal,Stray,Intact Male,0.246575342,1,15.05069444,Neutered Male,0.328767123,1,Adoption
Dog,Sick,Euthanasia Request,Intact Female,8,1,0.010416667,Intact Female,8,1,Euthanasia
Dog,Normal,Stray,Intact Female,7,1,4.278472222,Spayed Female,7,1,Adoption
Dog,Normal,Stray,Intact Female,0.082191781,1,4.240277778,Spayed Female,0.164383562,1,Adoption
Dog,Normal,Owner Surrender,Intact Female,0.246575342,1,1.241666667,Spayed Female,0.246575342,1,Missing
Dog,Normal,Owner Surrender,Intact Male,0.246575342,1,2.060416667,Neutered Male,0.246575342,1,Relocate
Dog,Normal,Owner Surrender,Neutered Male,5,1,5.251388889,Neutered Male,5,1,Adoption
Dog,Normal,Stray,Intact Male,2,2,17.24375,Neutered Male,2,2,Adoption
Dog,Normal,Stray,Intact Male,0.328767123,1,7.113888889,Neutered Male,0.410958904,1,Rto-Adopt
Other,Normal,Stray,Unknown,0.410958904,1,0.258333333,Unknown,0.410958904,1,Transfer
Cat,Normal,Stray,Neutered Male,2,1,41.20694444,Neutered Male,2,1,Transfer
Other,Normal,Owner Surrender,Intact Female,0.410958904,1,0.272916667,Intact Female,0.410958904,1,Transfer
Other,Normal,Owner Surrender,Intact Male,0.410958904,1,0.272916667,Intact Male,0.410958904,1,Transfer
